[Header]	
System	NPOC-TN	
S/W Version	1.00	
User	Grossman	
Date/Time	5/2/2021 11:43:54 AM	

[System]	
Instrument Options	TOC/ASI/TN/	

[Data]	
Type	Sample Name	Sample ID	Cal. Curve	Date / Time	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Vial	Excluded	
Unknown	FLUSH	FLUSH	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 9:17:17 PM	2	TN	0.07020	0.08970	0.00765	0.00978	NPOC:0.09375mg/L TN:0.00978mg/L	0	0	
Unknown	CIG	2	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 9:28:08 PM	1	NPOC	4.861	4.901	2.169	2.186	NPOC:2.186mg/L TN:0.5106mg/L	2	0	
Unknown	CIG	2	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 9:30:27 PM	2	NPOC	4.940	4.901	2.204	2.186	NPOC:2.186mg/L TN:0.5106mg/L	2	0	
Unknown	CIG	2	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 9:28:08 PM	1	TN	4.621	4.683	0.5039	0.5106	NPOC:2.186mg/L TN:0.5106mg/L	2	0	
Unknown	CIG	2	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 9:30:27 PM	2	TN	4.744	4.683	0.5173	0.5106	NPOC:2.186mg/L TN:0.5106mg/L	2	0	
Unknown	CIG	3	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 9:39:27 PM	1	NPOC	11.37	10.99	5.072	4.903	NPOC:4.903mg/L TN:0.4800mg/L	3	1	
Unknown	CIG	3	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 9:42:10 PM	2	NPOC	10.92	10.99	4.871	4.903	NPOC:4.903mg/L TN:0.4800mg/L	3	0	
Unknown	CIG	3	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 9:44:16 PM	3	NPOC	11.06	10.99	4.934	4.903	NPOC:4.903mg/L TN:0.4800mg/L	3	0	
Unknown	CIG	3	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 9:39:27 PM	1	TN	4.420	4.402	0.4820	0.4800	NPOC:4.903mg/L TN:0.4800mg/L	3	0	
Unknown	CIG	3	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 9:42:10 PM	2	TN	4.383	4.402	0.4779	0.4800	NPOC:4.903mg/L TN:0.4800mg/L	3	0	
Unknown	CIG	4	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 9:53:09 PM	1	NPOC	4.493	4.524	2.004	2.018	NPOC:2.018mg/L TN:0.4046mg/L	4	0	
Unknown	CIG	4	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 9:55:40 PM	2	NPOC	4.204	4.524	1.875	2.018	NPOC:2.018mg/L TN:0.4046mg/L	4	1	
Unknown	CIG	4	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 9:58:47 PM	3	NPOC	4.556	4.524	2.032	2.018	NPOC:2.018mg/L TN:0.4046mg/L	4	0	
Unknown	CIG	4	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 9:53:09 PM	1	TN	3.615	3.710	0.3942	0.4046	NPOC:2.018mg/L TN:0.4046mg/L	4	0	
Unknown	CIG	4	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 9:55:40 PM	2	TN	3.420	3.710	0.3729	0.4046	NPOC:2.018mg/L TN:0.4046mg/L	4	1	
Unknown	CIG	4	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 9:58:47 PM	3	TN	3.805	3.710	0.4149	0.4046	NPOC:2.018mg/L TN:0.4046mg/L	4	0	
Unknown	CIG	5	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 10:07:53 PM	1	NPOC	139.8	139.4	62.37	62.16	NPOC:62.16mg/L TN:0.2760mg/L	5	0	
Unknown	CIG	5	C:\TOC-L\CalCurves\NPOC 10 ppm_2.2021_04_09_18_06_00.cal	4/9/2021 10:10:40 PM	2	NPOC	138.9	139.4	61.96	62.16	NPOC:62.16mg/L TN:0.2760mg/L	5	0	
Unknown	CIG	5	C:\TOC-L\CalCurves\TN 10 ppm_2.2021_04_09_19_10_36.cal	4/9/2021 10:07:53 PM	1	TN	2.535	2.531	0.2764	0.2760	NPOC:62.16mg/L TN:0.2760mg/L	5	0	
